Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Regulated-By	GO terms (biological process)	Transcription Units	gene ID	Pathways of gene	TU ID
yahG	b0321	338325	339743	DUF1116 domain-containing protein YahG			yahDEFG	G6186		yahDEFG
cheA	b1888	1973360	1975324	chemotaxis protein CheA // chemotaxis protein CheA(S)	Regulation of cheA by DNA-binding transcriptional dual regulator Nac	bacterial-type flagellum-dependent swimming motility // regulation of bacterial-type flagellum-dependent cell motility // positive regulation of post-translational protein modification // regulation of chemotaxis // negative regulation of protein modification process // phosphorylation // phosphorelay signal transduction system // signal transduction // aerotaxis // thermotaxis // peptidyl-histidine phosphorylation // protein autophosphorylation // establishment of localization in cell // chemotaxis	motRAB-cheAW	EG10146	Aerotactic Two-Component Signal Transduction System // Chemotactic Two-Component Signal Transduction	motRAB-cheAW
hyfI	b2489	2610706	2611464	hydrogenase 4 catalytic subunit HyfI		electron transport chain	hyfABCDEFGHIJR-focB	G7306		hyfABCDEFGHIJR-focB
ymdA	b1044	1105414	1105725	uncharacterized protein YmdA	Regulation of ymdA by carbon storage regulator // Regulation of ymdA by carbon storage regulator	single-species biofilm formation	ymdAB // ymdAB-clsC // ymdA	G6549		ymdAB // ymdAB-clsC // ymdA
eutG	b2453	2568324	2569511	putative alcohol dehydrogenase EutG		ethanolamine catabolic process	eutNEJG	G7283		eutNEJG
epmC	b2326	2444203	2444751	EF-P-Lys34 hydroxylase		post-translational protein modification // peptidyl-lysine hydroxylation involved in bacterial-type EF-P lysine modification	prmB-aroC-mepA-yfcA-epmC-yfcL	G7201		prmB-aroC-mepA-yfcA-epmC-yfcL
erpA	b0156	176610	176954	iron-sulfur cluster insertion protein ErpA	Regulation of erpA by small regulatory RNA RyhB	protein maturation by [4Fe-4S] cluster transfer // aerobic respiration // anaerobic respiration // iron-sulfur cluster assembly // protein maturation	erpA	EG12332		erpA
ybfP	b0689	715412	715906	lipoprotein YbfP			ybfP	G6374		ybfP
caiE	b0035	34781	35371	putative transferase CaiE		carnitine metabolic process	caiCDE // caiTABCDE	EG12608		caiCDE // caiTABCDE
citX	b0614	647484	648035	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase		prosthetic group biosynthetic process // protein-phosphoribosyl dephospho-coenzyme A linkage	citCDEFXG // citCDEFXG	G6340	citrate lyase activation	citCDEFXG // citCDEFXG
