# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_to_flat_Clim_half_lives.py on Tue Nov 19 21:44:42 2024
id	half_life (units.min)
"CHEA-SMALL"	72.80592702
"nan"	136.73774046
"EG10215-MONOMER"	98.5382796
"PD03695"	107.59939074
"YEEF-MONOMER"	44.61945474
"SMALLILVM-MONOMER"	74.66231664
"EG10841-MONOMER"	89.14565238
"EG11783-MONOMER"	78.81601932000001
"G7651-MONOMER"	23.14411926
"G7742-MONOMER"	61.069591380000006
"G7163-MONOMER"	159.28872054
"MTR-MONOMER"	125.05209161999998
"G7270-MONOMER"	65.45610618
"EG11112-MONOMER"	44.37612792
"G6558-MONOMER"	77.30933945999999
"EG10488-MONOMER"	183.45558708
"EG11388-MONOMER"	13.66014342
"EG12252-MONOMER"	40.6697004
"EG12710-MONOMER"	128.54767398
"G7595-MONOMER"	192.58939362
"G6994-MONOMER"	46.14911838
"G6912-MONOMER"	169.51116720000002
"SORB6PDEHYDROG-MONOMER"	88.49176248
"MHPELY-MONOMER"	150.93031206
"MONOMER0-2820"	235.95852978
"ANSB-MONOMER"	338.86161174
"EG11664-MONOMER"	329.42329302
"EG12201-MONOMER"	131.43469548
"G7580-MONOMER"	186.50911602
"YCHM-MONOMER"	423.09131256
"EG12341-MONOMER"	31.15710096
"URAA-MONOMER"	314.78773842
"RPOS-MONOMER"	61.59238074
"EG11214-MONOMER"	233.8939917
"EG11547-MONOMER"	377.64018
"EG12334-MONOMER"	402.53063736
"G7080-MONOMER"	322.48510236
"G7835-MONOMER"	356.51993922
"G6208-MONOMER"	478.23416034
"G6433-MONOMER"	362.25012168
"G6449-MONOMER"	355.23403758
"G6964-MONOMER"	21.1321836
"G7146-MONOMER"	359.1315345
"PDXY-MONOMER"	378.03836118
"EG10528-MONOMER"	479.67808626
"EG11144-MONOMER"	315.72363174000003
"EG11876-MONOMER"	378.27971856
"MALF-MONOMER"	437.35074246
"G6706-MONOMER"	43.437567300000005
"EG12865-MONOMER"	116.36105928
"G6782-MONOMER"	137.92641732
"EG11696-MONOMER"	346.77304614
"G7424-MONOMER"	304.86981972
"EG10439-MONOMER"	119.65029528
"MONOMER0-2693"	365.45931936
"MONOMER0-2688"	302.34144558
"EG10724-MONOMER"	163.7310978
"EG11239-MONOMER"	272.36991822000005
"ACRB-MONOMER"	460.02519912
"EG10310-MONOMER"	360.694605
"EG12271-MONOMER"	331.89189906
"EG12860-MONOMER"	344.54160360000003
"G6424-MONOMER"	304.80134358
"G6434-MONOMER"	407.5505385
"G6110-MONOMER"	61.11092837999999
"G6401-MONOMER"	144.27737159999998
"EG11962-MONOMER"	194.68713546
"EG10143-MONOMER"	121.87196238
"GLUTDECARBOXA-MONOMER"	418.74417318
"G7394-MONOMER"	80.56059456
"YDDP-MONOMER"	227.430783
"G6673-MONOMER"	115.05367014
"G6798-MONOMER"	187.76404926
"G6281-MONOMER"	184.13812236
"EG11847-MONOMER"	364.26858378
"MONOMER0-2660"	108.71196666
"G7743-MONOMER"	404.37955944
"G6185-MONOMER"	316.631604
"EG11099-MONOMER"	188.27162076
"G7816-MONOMER"	143.55404069999997
"6PGLUCONDEHYDROG-MONOMER"	612.0626814
"FUM-FLAVO"	811.1258981999999
"GDHA-MONOMER"	459.19958142
"NADH-DHII-MONOMER"	710.9683709999999
"SUPEROX-DISMUTMN-MONOMER"	746.8587564
"NRDA-MONOMER"	625.1889312000001
"HOMOSERKIN-MONOMER"	518.8623430199999
"RPOD-MONOMER"	503.91076482
"EG10746-MONOMER"	756.5885675999999
"EG10040-MONOMER"	629.5421868000001
"DIAMINOPIMDECARB-MONOMER"	521.83067544
"PEPCARBOX-MONOMER"	662.689659
"ANTHRANSYNCOMPI-MONOMER"	583.3494996
