# Organism: Escherichia coli K-12 substr. MG1655 (ECOLI)
# Database: EcoCyc
# Version: 29.1
# Orthologs: true
# Date and time generated: March 20, 2025, 17:09:21
"id"	"symbol"	"synonyms"	"left_end_pos"	"right_end_pos"	"direction"	"rna_ids"
"G0-10515"	"yjhW"	["yjhW", "b4562", "ECK4275"]	4509479	4509793	"+"	[]
"G0-10560"	"wbbL_2"	["wbbL_2", "b4540", "ECK2025"]	2101396	2101744	"-"	[]
"G0-10562"	"yhcE_2"	["yhcE_2", "b4549", "ECK3207"]	3366755	3366929	"+"	[]
"G0-10683"	"yhiS_2"	["yhiS_2", "b3504", "ECK3489"]	3653236	3653713	"+"	[]
"G0-16683"	"crl_2"	["crl_2", "ECK0241"]	258676	259006	"+"	[]
"G0-16684"	"crl_1"	["crl_1", "b0240", "ECK0241"]	257829	257899	"+"	[]
"G6132"	"insO1"	["insO1", "b0257", "ECK0259"]	271764	272190	"+"	[]
"G6211"	"yaiX_2"	["yaiX_2", "b0359", "ECK0356"]	380844	381260	"-"	[]
"G6225"	"yaiU"	["yaiU", "b0374", "ECK0369"]	392970	394418	"+"	[]
"G6694"	"lomR_2"	["lomR_2", "b1371", "ECK1366"]	1428796	1428984	"+"	[]
"G7078"	"yoeA_2"	["yoeA_2", "b1998", "ECK1990"]	2070277	2070474	"+"	[]
"G7906"	"insO2"	["insO2", "b4285", "ECK4274"]	4509009	4509479	"+"	[]
"G8204"	"ydbA_2"	["ydbA_2", "b1405", "ECK1398"]	1470519	1474013	"+"	[]
"G8207"	"gatR_2"	["gatR_2", "b2087", "ECK2083"]	2169693	2170167	"-"	[]
"GFRAG0-10"	"yoeA_1"	["yoeA_1", "b1995", "ECK1989"]	2068635	2068940	"+"	[]
"GFRAG0-12"	null	[]	1299474	1299504	"+"	[]
"GFRAG0-13"	null	[]	1300694	1300927	"+"	[]
"GFRAG0-14"	"insN1"	["insN1", "b0255", "ECK0257"]	270278	270540	"+"	[]
"GFRAG0-15"	"insN2"	["insN2", "b4283", "ECK0257"]	4507197	4507451	"+"	[]
"GFRAG0-16"	"yrhA_1"	["yrhA_1"]	3583038	3583427	"+"	[]
"GFRAG0-17"	"yrhA_2"	["yrhA_2"]	3584205	3584309	"+"	[]
"GFRAG0-18"	"yqiG_1"	["yqiG_1"]	3186025	3186095	"+"	[]
"GFRAG0-19"	"yqiG_2"	["yqiG_2"]	3187432	3189865	"+"	[]
"GFRAG0-2"	"gatR_1"	["gatR_1", "b2090", "ECK2083"]	2171429	2171727	"-"	[]
"GFRAG0-20"	"yejO_1"	["yejO_1"]	2290114	2290180	"-"	[]
"GFRAG0-21"	"yejO_2"	["yejO_2"]	2286390	2288914	"-"	[]
"GFRAG0-22"	"yaiT"	["yaiT", "b0371", "ECK0368"]	390251	391708	"+"	[]
"GFRAG0-23"	"renD_1"	["renD_1"]	566684	566776	"+"	[]
"GFRAG0-24"	"renD_2"	["renD_2"]	568035	568247	"+"	[]
"GFRAG0-25"	"nmpC_1"	["nmpC_1"]	575786	576825	"-"	[]
"GFRAG0-26"	"nmpC_2"	["nmpC_2"]	574529	574586	"-"	[]
"GFRAG0-3"	"lomR_1"	["lomR_1", "b1369", "ECK1366"]	1427389	1427598	"+"	[]
"GFRAG0-4"	"wbbL_1"	["wbbL_1", "b2031", "ECK2025"]	2102944	2103389	"-"	[]
"GFRAG0-5"	"yaiX_1"	["yaiX_1", "b0362", "ECK0359"]	382591	382872	"-"	[]
"GFRAG0-6"	"ydbA_1"	["ydbA_1", "b1401", "ECK1398"]	1465392	1467909	"+"	[]
"GFRAG0-7"	"ydbA_1.5"	["ydbA_1.5"]	1469246	1469295	"+"	[]
"GFRAG0-8"	"yhcE_1"	["yhcE_1", "b3217", "ECK3207"]	3365185	3365555	"+"	[]
"GFRAG0-9"	"yhiS_1"	["yhiS_1", "b3504", "ECK3409"]	3651291	3652036	"+"	[]
