Uniprot Accession,Description,Gene,proteinMW,Peptides.used.for.quantitation,Confidence.score,medianRatio_MG1655.LB_vs_BW25113.Glucose,medianRatio_NCM3722.LB_vs_BW25113.Glucose,medianRatio_MG1655.Glucose_vs_BW25113.Glucose,medianRatio_NCM3722.Glucose_vs_BW25113.Glucose,medianRatio_BW25113.LB_vs_BW25113.Glucose,qvalue_MG1655.LB_vs_BW25113.Glucose,qvalue_NCM3722.LB_vs_BW25113.Glucose,qvalue_MG1655.Glucose_vs_BW25113.Glucose,qvalue_NCM3722.Glucose_vs_BW25113.Glucose,qvalue_BW25113.LB_vs_BW25113.Glucose,Copies/Cell_MG1655.LB,Copies/Cell_MG1655.Glucose,Copies/Cell_NCM3722.LB,Copies/Cell_NCM3722.Glucose,Copies/Cell_BW25113.LB,Copies/Cell_BW25113.Glucose,cv_MG1655.LB,cv_NCM3722.LB,cv_MG1655.Glucose,cv_NCM3722.Glucose,cv_BW25113.LB,cv_BW25113.Glucose,rawInt_A14.07016.1,rawInt_A14.07017.1,rawInt_A14.07018.1,rawInt_A14.07020.1,rawInt_A14.07021.1,rawInt_A14.07022.1,rawInt_A14.07024.1,rawInt_A14.07025.1,rawInt_A14.07026.1,rawInt_A14.07028.1,rawInt_A14.07029.1,rawInt_A14.07030.1,rawInt_A14.07032.1,rawInt_A14.07033.1,rawInt_A14.07034.1,rawInt_A14.07036.1,rawInt_A14.07037.1,rawInt_A14.07038.1,normInt_A14.07016.1,normInt_A14.07017.1,normInt_A14.07018.1,normInt_A14.07020.1,normInt_A14.07021.1,normInt_A14.07022.1,normInt_A14.07024.1,normInt_A14.07025.1,normInt_A14.07026.1,normInt_A14.07028.1,normInt_A14.07029.1,normInt_A14.07030.1,normInt_A14.07032.1,normInt_A14.07033.1,normInt_A14.07034.1,normInt_A14.07036.1,normInt_A14.07037.1,normInt_A14.07038.1,medianNormInt_MG1655.LB,medianNormInt_NCM3722.LB,medianNormInt_MG1655.Glu,medianNormInt_NCM3722.Glu,medianNormInt_BW25113.LB,medianNormInt_BW25113.Glu
P0A8T7,DNA-directed RNA polymerase subunit beta' OS=Escherichia coli (strain K12) GN=rpoC PE=1 SV=1,rpoC,155045.008,90,6366.12,1.11,2.03,0.75,1.64,1.57,0.37,0.00,0.40,0.00,0.02,4696,2270,8918,5879,6914,2859,18.57,7.77,23.57,10.33,20.64,4.41,73324306.27,50352564.78,48767227.57,101571711.50,154059998.00,115863617.80,54718237.95,26512329.66,31570695.77,89912985.71,104447661.20,73183912.19,73439818.36,64558728.41,78632727.04,36839826.56,50396268.67,42018149.93,73324306.27,50581905.75,60396503.98,110627018.00,123203164.80,106235893.70,57128697.40,40913212.48,37142117.05,93219524.11,89763751.00,76321855.13,85515829.02,72445626.87,108664520.80,55322146.63,54595014.62,50914573.74,60396503.98,110627018.00,40913212.48,89763751.00,85515829.02,54595014.62
P0A8V2,DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1,rpoB,150520.2758,80,4545.11,1.16,1.84,0.82,1.47,1.47,0.37,0.00,0.39,0.01,0.02,5649,2849,9258,6029,7410,3268,21.79,4.67,15.08,9.87,16.94,3.08,82901680.86,53255636.69,53670421.72,96463483.41,137084927.00,108900520.60,57061559.93,30434826.01,38886736.19,90744682.93,97984134.43,74171255.12,72000281.68,65726352.30,74323809.57,37612442.62,55225557.51,47117246.02,82901680.86,53498200.29,66468938.27,105063381.90,109628048.00,99851397.24,59575247.90,46966317.92,45749251.70,94081806.89,84208907.55,77351532.84,83839583.42,73755895.01,102709920.60,56482379.54,59826653.83,57093291.84,66468938.27,105063381.90,46966317.92,84208907.55,83839583.42,57093291.84
P36683,Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3,acnB,93420.9457,63,4264.26,1.76,1.35,1.33,1.28,1.42,0.18,0.00,0.20,0.01,0.02,17855,9626,14290,10999,14969,6851,34.19,1.50,13.54,4.98,19.48,1.84,72180722.44,145961685.90,111037515.00,95311312.48,133597939.20,115767062.50,101409129.60,53217583.00,88285033.97,96990295.35,125242241.90,93754528.59,130614917.30,98784420.51,79277407.48,53420931.06,72314954.07,63850308.91,72180722.44,146626498.00,137516074.90,103808492.80,106839472.50,106147361.70,105876426.10,82124140.32,103865087.10,100557100.90,107634898.50,97774488.05,152092464.10,110852543.80,109555420.70,80221891.84,78339846.96,77369214.64,137516074.90,106147361.70,103865087.10,100557100.90,110852543.80,78339846.96
P15254,Phosphoribosylformylglycinamidine synthase OS=Escherichia coli (strain K12) GN=purL PE=1 SV=3,purL,141295.8984,60,4202.99,0.13,0.10,1.07,1.31,0.12,0.00,0.00,0.90,0.01,0.00,414,2422,339,3523,381,2143,22.28,3.84,8.92,1.45,8.35,4.74,3749974.04,4419271.15,4675962.84,3052475.34,4484096.78,3816181.96,36514977.86,20721457.86,30908356.12,43963303.48,51535761.82,42968236.02,3801076.85,3373815.14,2836662.23,22415510.09,33882360.47,28128725.57,3749974.04,4439399.62,5791016.27,3324609.18,3585972.49,3499075.10,38123543.43,31976873.38,36362891.37,45580048.27,44290539.77,44810606.41,4426103.51,3785981.52,3920054.07,33661237.09,36705256.44,34084367.69,4439399.62,3499075.10,36362891.37,44810606.41,3920054.07,34084367.69
P09831,Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) GN=gltB PE=1 SV=3,gltB,163176.3153,58,3855.64,0.09,0.08,0.83,1.38,0.06,0.00,0.00,0.70,0.12,0.00,272,1815,254,3562,188,2068,21.35,8.56,27.46,17.53,11.89,5.03,4138408.28,2660887.16,2865323.60,2565697.57,4001049.84,3591564.54,47798953.93,21498826.28,26158960.68,56694321.13,64183253.34,39840352.45,2026806.68,1926627.25,1974268.86,26669708.83,39946411.05,32557383.43,4138408.28,2673006.71,3548602.96,2794434.27,3199675.51,3293122.34,49904603.61,33176490.30,30775348.96,58779247.44,55159967.25,41548607.02,2360082.81,2161996.10,2728291.22,40049741.84,43274531.09,39450696.94,3548602.96,3199675.51,33176490.30,55159967.25,2360082.81,40049741.84
P00968,Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2,carB,117749.3328,57,3391.35,0.04,0.06,1.01,0.68,0.04,0.00,0.00,0.99,0.00,0.00,241,4414,405,3531,226,4141,16.74,14.14,6.89,2.82,2.95,0.09,2340258.08,1680756.81,1801879.33,2996644.35,5380269.60,3952822.03,54928934.85,39568345.41,45204396.52,37494184.88,45558297.95,35624737.57,1732459.63,1705083.39,1455938.98,37989113.09,52573873.39,47062233.09,2340258.08,1688412.16,2231564.46,3263800.75,4302649.95,3624361.03,57348675.96,61060953.30,53181817.68,38873028.68,39153425.42,37152237.12,2017335.07,1913387.05,2011998.28,57048023.34,56954045.65,57026631.13,2231564.46,3624361.03,57348675.96,38873028.68,2011998.28,57026631.13
P25665,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Escherichia coli (strain K12) GN=metE PE=1 SV=6,metE,84602.80905,56,4337.62,0.01,0.01,0.80,1.14,0.01,0.00,0.00,0.05,0.17,0.00,749,37939,772,64047,1035,45012,4.21,4.41,4.29,6.06,12.76,2.78,4714020.08,4329275.72,3587883.08,4055514.28,5537812.38,4464687.31,301898596.20,195127918.90,278900346.30,434853920.30,529559852.70,390424918.80,5859507.57,4723745.14,4268831.35,256649299.40,365823566.40,336233794.00,4714020.08,4348994.29,4443467.58,4417070.90,4428638.32,4093692.70,315197897.30,301116880.80,328119132.50,450845616.80,455110992.60,407165361.80,6823010.44,5300827.42,5899204.18,385408713.90,396302017.70,407423942.30,4443467.58,4417070.90,315197897.30,450845616.80,5899204.18,396302017.70
P0A6F5,60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2,groL,57274.67483,54,3845.5,1.80,1.39,1.01,1.15,1.87,0.00,0.00,0.97,0.03,0.00,55698,22305,44647,30083,60099,20834,12.06,2.11,2.83,2.21,4.66,1.98,208186015.90,254254156.40,211071584.40,180478841.20,246919698.30,222794022.60,137305092.30,88396987.61,121807455.00,161290645.90,186152583.60,157027206.70,241255416.20,236152120.10,185516455.50,94550074.13,126571691.40,117064909.90,208186015.90,255412208.60,261404767.50,196568864.60,197463901.60,204280882.50,143353685.40,136412181.90,143303359.10,167222088.50,159982080.70,163760140.20,280926034.20,265001941.60,256369802.90,141985279.40,137116963.70,141850842.90,255412208.60,197463901.60,143303359.10,163760140.20,265001941.60,141850842.90
P0A6Y8,Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2,dnaK,69054.47444,54,4435.3,1.69,1.36,1.00,1.09,2.08,0.00,0.00,0.90,0.33,0.00,42936,18133,35699,23224,54958,17105,5.68,2.88,6.98,8.36,7.89,2.83,221423132.60,246970414.90,191032916.40,171114675.70,237238599.60,215006923.70,124325868.90,90714609.22,126907073.70,135847202.20,176762399.30,159521581.30,251936693.90,259496068.50,183876278.80,93192475.37,128013081.60,120615596.50,221423132.60,248095291.80,236587578.80,186369866.40,189721840.00,197140855.10,129802698.50,139988681.90,149302930.20,140842965.40,151912027.70,166361467.30,293363678.20,291197732.90,254103201.90,139946581.50,138678442.80,146153309.70,236587578.80,189721840.00,139988681.90,151912027.70,291197732.90,139946581.50
P0A705,Translation initiation factor IF-2 OS=Escherichia coli (strain K12) GN=infB PE=1 SV=1,infB,97272.32602,54,3650.58,1.19,1.89,0.79,1.32,1.56,0.21,0.00,0.30,0.02,0.02,3236,1545,5355,3034,4419,1836,21.12,5.65,14.00,11.09,18.93,4.39,32794136.35,21566304.55,20714516.49,37591128.68,52893767.19,41280826.12,20502242.14,11117278.02,14231661.28,31521385.34,33219778.43,25218107.18,28927086.92,25659658.48,30261945.18,14389538.22,20748056.65,16989560.40,32794136.35,21664532.66,25654203.44,40942447.52,42299620.92,37850582.76,21405411.27,17155925.70,16743185.93,32680580.20,28549532.71,26299396.48,33683686.52,28794403.02,41819734.54,21608683.26,22476673.09,20586728.05,25654203.44,40942447.52,17155925.70,28549532.71,33683686.52,21608683.26
