# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_clim_half_lives_to_flat.py on Wed Nov 12 23:30:41 2025
id	common_name	half_life (units.min)
"MONOMER0-2820"	"yciZ"	607.2621873065249
"THIS-MONOMER"	"thiS"	427.3618312551586
"6PGLUCONDEHYDROG-MONOMER"	"gnd"	1782.5420569274545
"FUM-FLAVO"	"frdA"	6796.4699684458465
"GDHA-MONOMER"	"gdhA"	1181.6940513410536
"NRDA-MONOMER"	"nrdA"	2018.0596133777553
"ASPAMINOTRANS-MONOMER"	"aspC"	4415.1909574512765
"HOMOSERKIN-MONOMER"	"thrB"	1818.532332840545
"ASPKINIHOMOSERDEHYDROGI-MONOMER"	"thrA"	3889.7449963473246
"ASPKINIIHOMOSERDEHYDROGII-MONOMER"	"metL"	2035.4195288673918
"RPOD-MONOMER"	"rpoD"	1520.2124863207193
"ALKAPHOSPHA-MONOMER"	"phoA"	4299.263394154048
"EG10530-MONOMER"	"lepB"	4508.614783174999
"ANSB-MONOMER"	"ansB"	285.86673316265575
"EG10040-MONOMER"	"ampC"	1691.2476560648545
"DIAMINOPIMDECARB-MONOMER"	"lysA"	1436.4336801339464
"PEPCARBOX-MONOMER"	"ppc"	6412.553526962646
"AROF-MONOMER"	"aroF"	325.2272048217984
"ACETOLACTSYNIII-HCHAIN-MONOMER"	"ilvH"	2767.9242148666785
"ANTHRANSYNCOMPI-MONOMER"	"trpE"	7036.141368839398
"PABASYN-COMPII-MONOMER"	"pabA"	1618.5261794438725
"PRAI-IGPS"	"trpC"	883.8792894951124
"EG10736-MONOMER"	"phr"	4152.215382876223
"ADENYLATECYC-MONOMER"	"cyaA"	80.03427878132887
"XYLISOM-MONOMER"	"xylA"	1672.1759383572605
"MANNPISOM-MONOMER"	"manA"	4766.996477810998
"ILES-MONOMER"	"ileS"	8510.223127695723
"ALAS-MONOMER"	"alaS"	4395.800630517658
"METG-MONOMER"	"metG"	1866.5547658842875
"GLYQ-MONOMER"	"glyQ"	2997.5748040308226
"GLYS-MONOMER"	"glyS"	2042.1261089931231
"ASNSYNA-MONOMER"	"asnA"	449.3904386218064
"CARBPSYN-LARGE"	"carB"	2521.6488438926417
"EG10876-MONOMER"	"rplO"	2322.1138207916338
"EG10748-MONOMER"	"mrcA"	6761.252909398009
"RBSB-MONOMER"	"rbsB"	931.8977537758415
"EG11012-MONOMER"	"tonB"	607.8383975108035
"TSR-MONOMER"	"tsr"	1063.4701402308874
"PD03831"	"dnaA"	520.7497798695256
"EG10243-MONOMER"	"dnaQ"	197.11499962652877
"EG11064-MONOMER"	"uvrD"	1390.977128261889
"PD03028"	"galR"	990.9271575232897
"EG11157-MONOMER"	"ygeA"	1026.7178000196438
"EG11199-MONOMER"	"mioC"	3022.3559286507198
"EG10559-MONOMER"	"malM"	2397.27444643917
"GMP-SYN-MONOMER"	"guaA"	1306.3691413566596
"EG11091-MONOMER"	"frsA"	611.4958861803747
"CHAINI-MONOMER"	"argI"	1240.7910868652082
"EG11222-MONOMER"	"alkA"	376.3463359811318
"GLUTATHIONE-SYN-MONOMER"	"gshB"	1358.9463813465923
"TYRB-MONOMER"	"tyrB"	614.5550473158552
"LIVK-MONOMER"	"livK"	13264.069867366272
"EG10696-MONOMER"	"pepN"	4682.368560371023
"EG10657-MONOMER"	"nlpA"	3854.1549350573273
"EG10321-MONOMER"	"fliC"	59.44318146168077
"CPM-KDOSYNTH-MONOMER"	"kdsB"	4798.45504592063
"THREDEHYDSYN-MONOMER"	"ilvA"	1349.4530716149216
"EG10817-MONOMER"	"rbsD"	1296.7778616699552
"RBSA-MONOMER"	"rbsA"	4923.625849595421
"EG10826-MONOMER"	"recD"	993.9435131811878
"EG11072-MONOMER"	"xseA"	2498.341771853967
"EG10926-MONOMER"	"sbcB"	1815.3635531733137
"DIHYDROOROT-MONOMER"	"pyrC"	895.6856160911534
"FUMC-MONOMER"	"fumC"	1652.661962629685
"PD00967"	"appY"	768.819214053204
"EG10743-MONOMER"	"pnp"	3528.3271205254664
"EG10786-MONOMER"	"ptrA"	6811.870466081516
"ERYTHRON4PDEHYDROG-MONOMER"	"pdxB"	2213.891434708872
"EG10329-MONOMER"	"mutM"	1093.4642689485208
"EG10048-MONOMER"	"apaH"	732.1250000968905
"TRG-MONOMER"	"trg"	758.4257807762098
"EG10460-MONOMER"	"hsdS"	3431.268328095707
"DIHYDROXYACIDDEHYDRAT-MONOMER"	"ilvD"	2700.9850555201933
"KETOLREDUCTOISOM-MONOMER"	"ilvC"	4708.854633685068
"EG10293-MONOMER"	"fepA"	20162.913483221542
"PD00200"	"ilvY"	3017.4834891902865
"EG11171-MONOMER"	"tsaD"	1326.1682619935305
"EG10342-MONOMER"	"ftsQ"	350.92020083034794
"CDPDIGLYPYPHOSPHA-MONOMER"	"cdh"	3062.988044505425
"BTUE-MONOMER"	"btuE"	1071.4620519301498
"BTUD-MONOMER"	"btuD"	446.0048439635325
"EG10270-MONOMER"	"era"	664.3213470851802
"BIOTINLIG-MONOMER"	"birA"	1322.355823396025
"nan"	"nan"	808.3960738129709
"EG10624-MONOMER"	"mutH"	1608.7701034452389
"E2P-MONOMER"	"aceF"	3367.0594837103995
"EG10136-MONOMER"	"cca"	1241.1396726215448
"EG10226-MONOMER"	"dicA"	405.12494566576316
"DUTP-PYROP-MONOMER"	"dut"	845.4009561359229
"EG10302-MONOMER"	"fhuA"	13745.809031700808
"FLIM-FLAGELLAR-C-RING-SWITCH"	"fliM"	1789.2238992257935
"OHMETHYLBILANESYN-MONOMER"	"hemC"	3204.6338597855547
"HISTPHOSTRANS-MONOMER"	"hisC"	3233.2113298991976
"IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER"	"hisB"	1831.7501993934216
"HISTDEHYD-MONOMER"	"hisD"	1873.5463142671285
"HISTCYCLOPRATPPHOS"	"hisI"	5821.6373169950375
"PD00237"	"malT"	84.71460350745686
"EG10670-MONOMER"	"ompC"	2658.3365543664627
"6PFK-2-MONOMER"	"pfkB"	2173.401831981886
"GLUTSEMIALDEHYDROG-MONOMER"	"proA"	6913.940150041549
"EG10762-MONOMER"	"prfB"	1481.15710029599
"SDH-FE-S"	"sdhB"	6786.587187374923
"TAR-MONOMER"	"tar"	691.5298843846199
"TAP-MONOMER"	"tap"	370.76888499542093
"EG11152-MONOMER"	"yfiB"	85.64464330683339
"CHORISMUTPREPHENDEHYDROG-MONOMER"	"tyrA"	1452.488687913783
"USHA-MONOMER"	"ushA"	5930.156896921003
"HISP-MONOMER"	"hisP"	5272.582348668158
"VALS-MONOMER"	"valS"	3228.2123355290514
"CHEB-MONOMER"	"cheB"	413.2316344699689
"CHEA-SMALL"	"cheA"	122.2231932665859
"nan"	"nan"	143.2836705069486
"CHER-MONOMER"	"cheR"	215.80010360257222
"PD00413"	"tyrR"	1569.8258997513772
"HOMSUCTRAN-MONOMER"	"metA"	465.2976964196948
"AROB-MONOMER"	"aroB"	2177.957101108869
