# Generated by Mia G and Nora V on Nov 8 2024 based on Gupta et al 2024 carbon limited growth conditions 
# Table S1 https://doi.org/10.1038/s41467-024-49920-8
# The following uniprot ids were manually identified as they resulted in no ecocyc monomer if found through API
# {'P06710':'EG10245-MONOMER', 'P32132':'EG11837-MONOMER', 'P75960':'G6577-MONOMER'}
monomer_id	uniprot_id	half_life (units.min)	notes	assignment
CHEA-SMALL	P07363-2	72.80592702	consistent	C-lim3_1
PROTEIN-CHEA	P07363	136.73774046	consistent	C-lim12_1
EG10215-MONOMER	P0A9P6	98.5382796	consistent	C-lim3_1
PD03695	P0A9X9	107.59939073999999	consistent	C-lim3_1
YEEF-MONOMER	P0AA47	44.619454739999995	consistent	C-lim3_1
SMALLILVM-MONOMER	P0ADG1	74.66231664	consistent	C-lim3_1
EG10841-MONOMER	P24216	89.14565238	consistent	C-lim3_1
EG11783-MONOMER	P32053	78.81601932000001	consistent	C-lim3_1
G7651-MONOMER	P64599	23.14411926	consistent	C-lim3_1
G7742-MONOMER	P64636	61.069591380000006	consistent	C-lim3_1
G7163-MONOMER	P76471	159.28872054	consistent	C-lim3_1
MTR-MONOMER	P0AAD2	125.05209161999998	consistent	C-lim3_1
G7270-MONOMER	P76540	65.45610618	consistent	C-lim3_1
EG11112-MONOMER	P0A8P1	44.37612792	consistent	C-lim3_2
G6558-MONOMER	P0ABR1	77.30933945999999	consistent	C-lim3_2
EG10488-MONOMER	P10423	183.45558708000002	consistent	C-lim3_2
EG11388-MONOMER	P26608	13.66014342	consistent	C-lim3_2
EG12252-MONOMER	P37646	40.6697004	consistent	C-lim3_2
EG12710-MONOMER	P46144	128.54767398	consistent	C-lim3_2
G7595-MONOMER	P50466	192.58939361999998	consistent	C-lim3_2
G6994-MONOMER	P64490	46.149118380000004	consistent	C-lim3_2
G6912-MONOMER	P77781	169.51116720000002	consistent	C-lim3_2
SORB6PDEHYDROG-MONOMER	P05707	88.49176248	consistent	C-lim3_2
MHPELY-MONOMER	P51020	150.93031206	consistent	C-lim3_2
MONOMER0-2820	A5A614	235.95852978000002	consistent	C-lim6_1
ANSB-MONOMER	P00805	338.86161174	consistent	C-lim6_1
EG11664-MONOMER	P0A8R4	329.42329301999996	consistent	C-lim6_1
EG12201-MONOMER	P0AD53	131.43469548	consistent	C-lim6_1
G7580-MONOMER	P0ADU7	186.50911602	consistent	C-lim6_1
YCHM-MONOMER	P0AFR2	423.09131256	consistent	C-lim6_1
EG12341-MONOMER	P0AFX7	31.15710096	consistent	C-lim6_1
URAA-MONOMER	P0AGM7	314.78773842	consistent	C-lim6_1
RPOS-MONOMER	P13445	61.59238074	consistent	C-lim6_1
EG11214-MONOMER	P18390	233.8939917	consistent	C-lim6_1
EG11547-MONOMER	P30014	377.64018	consistent	C-lim6_1
EG12334-MONOMER	P37028	402.53063736	consistent	C-lim6_1
G7080-MONOMER	P39180	322.48510236	consistent	C-lim6_1
G7835-MONOMER	P39279	356.51993921999997	consistent	C-lim6_1
G6208-MONOMER	P51025	478.23416034	consistent	C-lim6_1
G6433-MONOMER	P75800	362.25012167999995	consistent	C-lim6_1
G6449-MONOMER	P75817	355.23403758	consistent	C-lim6_1
G6964-MONOMER	P76231	21.1321836	consistent	C-lim6_1
G7146-MONOMER	P76445	359.1315345	consistent	C-lim6_1
PDXY-MONOMER	P77150	378.03836118000004	consistent	C-lim6_1
EG10528-MONOMER	P02943	479.67808626000004	consistent	C-lim6_1
EG11144-MONOMER	P0AD30	315.72363174000003	consistent	C-lim6_1
EG11876-MONOMER	P32162	378.27971856	consistent	C-lim6_1
MALF-MONOMER	P02916	437.35074246	consistent	C-lim6_1
G6706-MONOMER	Q47129	43.437567300000005	consistent	C-lim6_1
