monomer_id	degradation_rate(1/s)	half_life_(min)	degradation_rate_source
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	2.30262532614577e-05	501.70789308	Gupta_et_al_MS_2024
1-PFK-MONOMER	1.5076475138829505e-05	766.2568938000001	Gupta_et_al_MS_2024
2-DEHYDROPANTOATE-REDUCT-MONOMER	1.925408834888737e-05	600.0	N_end_rule
2-ISOPROPYLMALATESYN-MONOMER	4.1717002381993e-05	276.9243318	Gupta_et_al_MS_2024
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	2.3414110432740473e-05	493.39704972	Gupta_et_al_MS_2024
2-OCTAPRENYLPHENOL-HYDROX-MONOMER	1.4512423999395055e-05	796.0388292000001	Gupta_et_al_MS_2024
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	2.168844281642526e-05	532.65479256	Gupta_et_al_MS_2024
3-ISOPROPYLMALDEHYDROG-MONOMER	1.945528167349153e-05	593.79520704	Gupta_et_al_MS_2024
3-OXOACYL-ACP-REDUCT-MONOMER	1.8792196217143352e-05	614.7473597999999	Gupta_et_al_MS_2024
3-OXOACYL-ACP-SYNTHII-MONOMER	1.550740458812477e-05	744.9636684000001	Gupta_et_al_MS_2024
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	7.36927368578445e-05	156.76515084	Gupta_et_al_MS_2024
6PFK-1-MONOMER	1.7826976849832772e-05	648.0320868	Gupta_et_al_MS_2024
6PFK-2-MONOMER	1.678842296598793e-05	688.1202023999999	Gupta_et_al_MS_2024
6PGLUCONDEHYDROG-MONOMER	1.8874624054693137e-05	612.0626814	Gupta_et_al_MS_2024
6PGLUCONOLACT-MONOMER	1.5386918533022525e-05	750.7970478000002	Gupta_et_al_MS_2024
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	1.7521179100243578e-05	659.3422134	Gupta_et_al_MS_2024
7KAPSYN-MONOMER	2.0920639388519252e-05	552.20362986	Gupta_et_al_MS_2024
AAS-MONOMER	1.3825513904690725e-05	835.5894102	Gupta_et_al_MS_2024
ABC-MONOMER	1.9777174113047375e-05	584.13062166	Gupta_et_al_MS_2024
ABGT-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ACETATEKINA-MONOMER	1.5433619484279635e-05	748.5251934	Gupta_et_al_MS_2024
ACETOLACTSYNIII-HCHAIN-MONOMER	1.764331309217394e-05	654.7779858	Gupta_et_al_MS_2024
ACETOLACTSYNIII-ICHAIN-MONOMER	1.6965926560892178e-05	680.9208426	Gupta_et_al_MS_2024
ACETYL-COA-ACETYLTRANSFER-MONOMER	2.7135810144585776e-05	425.72721978	Gupta_et_al_MS_2024
ACETYLGLUTKIN-MONOMER	1.8623681257361926e-05	620.30985441	Gupta_et_al_MS_2024
ACETYLORNDEACET-MONOMER	1.767751735980255e-05	653.51105442	Gupta_et_al_MS_2024
ACETYLORNTRANSAM-MONOMER	2.051401479446929e-05	563.1492969600001	Gupta_et_al_MS_2024
ACNEULY-MONOMER	2.818123979694013e-05	409.93416516	Gupta_et_al_MS_2024
ACONITASE-MONOMER	1.8605776881762472e-05	620.9067798	Gupta_et_al_MS_2024
ACONITATEDEHYDRB-MONOMER	2.6224992052957247e-05	440.51311764	Gupta_et_al_MS_2024
ACPSUB-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ACRB-MONOMER	2.5112652592578744e-05	460.02519912	Gupta_et_al_MS_2024
ACRD-MONOMER	1.606686995055898e-05	719.0232475200002	Gupta_et_al_MS_2024
ACRF-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ACS-MONOMER	2.4102912655654346e-05	479.29697022	Gupta_et_al_MS_2024
ACSERLYA-MONOMER	1.871801932471507e-05	617.1835176	Gupta_et_al_MS_2024
ACSERLYB-MONOMER	1.844986371563639e-05	626.1538398	Gupta_et_al_MS_2024
ACYLCOADEHYDROG-MONOMER	5.912048722513021e-05	195.40524024000004	Gupta_et_al_MS_2024
ACYLCOASYN-MONOMER	2.7837270009137076e-05	414.99949548	Gupta_et_al_MS_2024
ADCLY-MONOMER	1.6674474941637457e-05	692.8225956	Gupta_et_al_MS_2024
ADENODEAMIN-MONOMER	1.7825018868462785e-05	648.1032696	Gupta_et_al_MS_2024
ADENPRIBOSYLTRAN-MONOMER	2.301158523996612e-05	502.02769122	Gupta_et_al_MS_2024
ADENYL-KIN-MONOMER	1.6282496177212233e-05	709.5013494	Gupta_et_al_MS_2024
